query_name,city,forecast_date,peakrain,max_rain_chance
Q3: Rain Chance,Bangkok,2026-09-11,00:00:00,91
Q3: Rain Chance,Bangkok,2026-09-12,17:00:00,95
Q3: Rain Chance,Bangkok,2026-09-13,16:00:00,75
Q3: Rain Chance,Bangkok,2026-09-14,18:00:00,84
Q3: Rain Chance,Bangkok,2026-09-15,14:00:00,96
Q3: Rain Chance,Bangkok,2026-09-16,16:00:00,94
Q3: Rain Chance,Bangkok,2026-09-17,18:00:00,98
Q3: Rain Chance,Chiang Mai,2026-09-11,15:00:00,99
Q3: Rain Chance,Chiang Mai,2026-09-12,15:00:00,80
Q3: Rain Chance,Chiang Mai,2026-09-13,15:00:00,24
Q3: Rain Chance,Chiang Mai,2026-09-14,16:00:00,69
Q3: Rain Chance,Chiang Mai,2026-09-15,15:00:00,86
Q3: Rain Chance,Chiang Mai,2026-09-16,15:00:00,92
Q3: Rain Chance,Chiang Mai,2026-09-17,14:00:00,94
Q3: Rain Chance,Hat Yai,2026-09-11,16:00:00,100
Q3: Rain Chance,Hat Yai,2026-09-12,16:00:00,100
Q3: Rain Chance,Hat Yai,2026-09-13,16:00:00,98
Q3: Rain Chance,Hat Yai,2026-09-14,15:00:00,94
Q3: Rain Chance,Hat Yai,2026-09-15,15:00:00,85
Q3: Rain Chance,Hat Yai,2026-09-16,16:00:00,80
Q3: Rain Chance,Hat Yai,2026-09-17,19:00:00,80
Q3: Rain Chance,Khon Kaen,2026-09-11,18:00:00,97
Q3: Rain Chance,Khon Kaen,2026-09-12,16:00:00,24
Q3: Rain Chance,Khon Kaen,2026-09-13,23:00:00,63
Q3: Rain Chance,Khon Kaen,2026-09-14,14:00:00,82
Q3: Rain Chance,Khon Kaen,2026-09-15,16:00:00,94
Q3: Rain Chance,Khon Kaen,2026-09-16,18:00:00,93
Q3: Rain Chance,Khon Kaen,2026-09-17,17:00:00,92
Q3: Rain Chance,Phuket,2026-09-11,15:00:00,99
Q3: Rain Chance,Phuket,2026-09-12,15:00:00,100
Q3: Rain Chance,Phuket,2026-09-13,15:00:00,100
Q3: Rain Chance,Phuket,2026-09-14,15:00:00,93
Q3: Rain Chance,Phuket,2026-09-15,15:00:00,93
Q3: Rain Chance,Phuket,2026-09-16,14:00:00,87
Q3: Rain Chance,Phuket,2026-09-17,13:00:00,76
